batch_size,fold,best_filters_1,best_filters_2,learning_rate,activation,kernel_size_1,kernel_size_2,l2_reg_1,l2_reg_2,pool_size_1,dropout_1,dropout_2,up_sampling_size_1,up_sampling_size_2,val_loss
16,1,16,16,0.008357947570368458,relu,3,3,0.02,0.01,2,0.0,0.0,4,2,"MetricObservation(value=[1.0434556543259532e-06], step=29)"
16,2,16,16,0.008357947570368458,relu,3,3,0.02,0.01,2,0.0,0.0,4,2,"MetricObservation(value=[1.0434556543259532e-06], step=29)"
16,3,16,16,0.008357947570368458,relu,3,3,0.02,0.01,2,0.0,0.0,4,2,"MetricObservation(value=[1.0434556543259532e-06], step=29)"
16,4,16,16,0.008357947570368458,relu,3,3,0.02,0.01,2,0.0,0.0,4,2,"MetricObservation(value=[1.0434556543259532e-06], step=29)"
16,5,16,16,0.008357947570368458,relu,3,3,0.02,0.01,2,0.0,0.0,4,2,"MetricObservation(value=[1.0434556543259532e-06], step=29)"
32,1,16,24,0.0027887024252856224,tanh,5,5,0.09,0.07,2,0.4,0.30000000000000004,4,2,"MetricObservation(value=[8.171853551175445e-05], step=29)"
32,2,16,24,0.0027887024252856224,tanh,5,5,0.09,0.07,2,0.4,0.30000000000000004,4,2,"MetricObservation(value=[8.171853551175445e-05], step=29)"
32,3,16,24,0.0027887024252856224,tanh,5,5,0.09,0.07,2,0.4,0.30000000000000004,4,2,"MetricObservation(value=[8.171853551175445e-05], step=29)"
32,4,16,24,0.0027887024252856224,tanh,5,5,0.09,0.07,2,0.4,0.30000000000000004,4,2,"MetricObservation(value=[8.171853551175445e-05], step=29)"
32,5,16,24,0.0027887024252856224,tanh,5,5,0.09,0.07,2,0.4,0.30000000000000004,4,2,"MetricObservation(value=[8.171853551175445e-05], step=29)"
64,1,16,16,0.0025835316963429902,relu,3,5,0.04,0.08,2,0.30000000000000004,0.2,2,2,"MetricObservation(value=[0.02644342929124832], step=29)"
64,2,16,16,0.0025835316963429902,relu,3,5,0.04,0.08,2,0.30000000000000004,0.2,2,2,"MetricObservation(value=[0.02644342929124832], step=29)"
64,3,16,16,0.0025835316963429902,relu,3,5,0.04,0.08,2,0.30000000000000004,0.2,2,2,"MetricObservation(value=[0.02644342929124832], step=29)"
64,4,16,16,0.0025835316963429902,relu,3,5,0.04,0.08,2,0.30000000000000004,0.2,2,2,"MetricObservation(value=[0.02644342929124832], step=29)"
64,5,16,16,0.0025835316963429902,relu,3,5,0.04,0.08,2,0.30000000000000004,0.2,2,2,"MetricObservation(value=[0.02644342929124832], step=29)"
