batch_size,fold,best_filters_1,best_filters_2,learning_rate,activation,kernel_size_1,kernel_size_2,l2_reg_1,l2_reg_2,pool_size_1,dropout_1,dropout_2,up_sampling_size_1,up_sampling_size_2,val_loss
16,1,32,8,0.00487118152492734,relu,5,3,0.05,0.01,2,0.1,0.4,2,4,"MetricObservation(value=[0.007046056445688009], step=20)"
16,2,32,8,0.00487118152492734,relu,5,3,0.05,0.01,2,0.1,0.4,2,4,"MetricObservation(value=[0.007046056445688009], step=20)"
16,3,32,8,0.00487118152492734,relu,5,3,0.05,0.01,2,0.1,0.4,2,4,"MetricObservation(value=[0.007046056445688009], step=20)"
16,4,32,8,0.00487118152492734,relu,5,3,0.05,0.01,2,0.1,0.4,2,4,"MetricObservation(value=[0.007046056445688009], step=20)"
16,5,32,8,0.00487118152492734,relu,5,3,0.05,0.01,2,0.1,0.4,2,4,"MetricObservation(value=[0.007046056445688009], step=20)"
32,1,64,32,0.001278910704391419,tanh,3,5,0.0,0.01,2,0.2,0.0,4,2,"MetricObservation(value=[0.04578445479273796], step=27)"
32,2,64,32,0.001278910704391419,tanh,3,5,0.0,0.01,2,0.2,0.0,4,2,"MetricObservation(value=[0.04578445479273796], step=27)"
32,3,64,32,0.001278910704391419,tanh,3,5,0.0,0.01,2,0.2,0.0,4,2,"MetricObservation(value=[0.04578445479273796], step=27)"
32,4,64,32,0.001278910704391419,tanh,3,5,0.0,0.01,2,0.2,0.0,4,2,"MetricObservation(value=[0.04578445479273796], step=27)"
32,5,64,32,0.001278910704391419,tanh,3,5,0.0,0.01,2,0.2,0.0,4,2,"MetricObservation(value=[0.04578445479273796], step=27)"
64,1,64,16,0.00829014608439077,relu,3,3,0.02,0.03,4,0.0,0.30000000000000004,4,2,"MetricObservation(value=[0.010093779303133488], step=27)"
64,2,64,16,0.00829014608439077,relu,3,3,0.02,0.03,4,0.0,0.30000000000000004,4,2,"MetricObservation(value=[0.010093779303133488], step=27)"
64,3,64,16,0.00829014608439077,relu,3,3,0.02,0.03,4,0.0,0.30000000000000004,4,2,"MetricObservation(value=[0.010093779303133488], step=27)"
64,4,64,16,0.00829014608439077,relu,3,3,0.02,0.03,4,0.0,0.30000000000000004,4,2,"MetricObservation(value=[0.010093779303133488], step=27)"
64,5,64,16,0.00829014608439077,relu,3,3,0.02,0.03,4,0.0,0.30000000000000004,4,2,"MetricObservation(value=[0.010093779303133488], step=27)"
