id,name,last_updated
ethereum,Ethereum,2024-02-08T09:29:31.109Z
tether,Tether,2024-02-08T09:25:18.552Z
binancecoin,BNB,2024-02-08T09:29:30.991Z
usd-coin,USDC,2024-02-08T09:29:34.234Z
staked-ether,Lido Staked Ether,2024-02-08T09:29:35.835Z
chainlink,Chainlink,2024-02-08T09:29:38.381Z
matic-network,Polygon,2024-02-08T09:29:34.148Z
the-open-network,Toncoin,2024-02-08T09:29:34.631Z
wrapped-bitcoin,Wrapped Bitcoin,2024-02-08T09:29:34.655Z
shiba-inu,Shiba Inu,2024-02-08T09:29:29.990Z
dai,Dai,2024-02-08T09:25:18.048Z
uniswap,Uniswap,2024-02-08T09:29:37.990Z
leo-token,LEO Token,2024-02-08T09:28:47.917Z
immutable-x,Immutable,2024-02-08T09:29:31.149Z
injective-protocol,Injective,2024-02-08T09:29:29.776Z
okb,OKB,2024-02-08T09:29:23.714Z
lido-dao,Lido DAO,2024-02-08T09:29:31.555Z
first-digital-usd,First Digital USD,2024-02-08T09:28:48.938Z
arbitrum,Arbitrum,2024-02-08T09:29:37.052Z
crypto-com-chain,Cronos,2024-02-08T09:29:31.184Z
mantle,Mantle,2024-02-08T09:28:44.340Z
maker,Maker,2024-02-08T09:29:26.918Z
render-token,Render,2024-02-08T09:29:32.067Z
the-graph,The Graph,2024-02-08T09:29:31.113Z
rocket-pool-eth,Rocket Pool ETH,2024-02-08T09:29:27.367Z
quant-network,Quant,2024-02-08T09:29:27.197Z
true-usd,TrueUSD,2024-02-08T09:29:33.853Z
tokenize-xchange,Tokenize Xchange,2024-02-08T09:29:28.362Z
aave,Aave,2024-02-08T09:29:30.521Z
havven,Synthetix Network,2024-02-08T09:29:25.205Z
fantom,Fantom,2024-02-08T09:29:27.481Z
mantle-staked-ether,Mantle Staked Ether,2024-02-08T09:26:09.477Z
bittorrent,BitTorrent,2024-02-08T09:29:27.305Z
the-sandbox,The Sandbox,2024-02-08T09:29:30.351Z
astar,Astar,2024-02-08T09:29:35.516Z
axie-infinity,Axie Infinity,2024-02-08T09:29:30.617Z
whitebit,WhiteBIT Coin,2024-02-08T09:28:59.587Z
beam-2,Beam,2024-02-08T09:29:35.431Z
chiliz,Chiliz,2024-02-08T09:29:26.068Z
bitget-token,Bitget Token,2024-02-08T09:29:30.310Z
dydx,dYdX,2024-02-08T09:29:30.032Z
apecoin,ApeCoin,2024-02-08T09:29:32.871Z
decentraland,Decentraland,2024-02-08T09:29:30.261Z
blur,Blur,2024-02-08T09:29:29.211Z
frax-ether,Frax Ether,2024-02-08T09:29:28.973Z
gala,GALA,2024-02-08T09:29:31.596Z
usdd,USDD,2024-02-08T09:29:26.880Z
frax-share,Frax Share,2024-02-08T09:29:24.270Z
woo-network,WOO,2024-02-08T09:29:32.256Z
frax,Frax,2024-02-08T09:29:26.873Z
ethereum-name-service,Ethereum Name Service,2024-02-08T09:29:27.859Z
gnosis,Gnosis,2024-02-08T09:29:34.145Z
bonk,Bonk,2024-02-08T09:29:31.781Z
gatechain-token,Gate,2024-02-08T09:29:38.679Z
xdce-crowd-sale,XDC Network,2024-02-08T09:29:34.188Z
fetch-ai,Fetch.ai,2024-02-08T09:29:26.074Z
pancakeswap-token,PancakeSwap,2024-02-08T09:29:27.803Z
rocket-pool,Rocket Pool,2024-02-08T09:29:33.534Z
sweth,Swell Ethereum,2024-02-08T09:28:43.333Z
axelar,Axelar,2024-02-08T09:29:33.560Z
staked-frax-ether,Staked Frax Ether,2024-02-08T09:29:38.196Z
curve-dao-token,Curve DAO,2024-02-08T09:29:35.265Z
fasttoken,Fasttoken,2024-02-08T09:29:32.198Z
nexo,NEXO,2024-02-08T09:29:34.202Z
tether-gold,Tether Gold,2024-02-08T09:29:30.640Z
huobi-btc,Huobi BTC,2024-02-08T09:29:20.370Z
illuvium,Illuvium,2024-02-08T09:29:35.261Z
compound-wrapped-btc,cWBTC,2024-02-08T09:20:12.240Z
