ethereum,fantom,polygon-zkevm,kava,avalanche,iotex,mantle,rollux,oasys,thundercore,xdai,optimistic-ethereum,kardiachain,neon-evm,aptos,cronos,zksync,energi,hedera-hashgraph,arbitrum-one,base,polygon-pos,moonbeam,binance-smart-chain,tomochain,harmony-shard-0,okex-chain,sora,ronin,boba,aurora,metis-andromeda,fuse,kucoin-community-chain,meter,telos,syscoin,milkomeda-cardano,defi-kingdoms-blockchain,elastos,evmos,sx-network,conflux,astar,bitgert,arbitrum-nova,canto,dogechain,velas,klay-token,step-network,huobi-token,moonriver,celo,cube,bittorrent,linea,theta,starknet,rootstock,smartbch,ethereumpow,vechain,polkadot,scroll,fusion-network,pulsechain,onus,function-x,exosama,opbnb,beam,core,wanchain,binancecoin,hoo,sui,oasis,manta-pacific,shiden network,factom,callisto,bitrock,tombchain
0xdac17f958d2ee523a2206206994597c13d831ec7,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x1e4a5963abfd975d8c9021ce480b42188849d41d,0x919c1c267bc06a7039e03fcc2ef738525769109c,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0x3cdb7c48e70b854ed2fa392e21687501d84b3afc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb8c77482e45f1f44de1745f52c74426c631bdd52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035,0xfa9343c3897324496a05fc75abed6bac29f8a40f,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x368433cac2a0b8d76e64681a9835502a1f2a8a30,0xe1ab220e37ac55a4e2dd5ba148298a9c09fbd716,0x22e89898a04eaf43379beb70bf4e38b1faf8a31e,0xddafbb505ad214d7b80b1f830fccc89b60fb7a83,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x765277eebeca2e31912c9946eae1021199b39c61,0xea6b04272f9f62f997f666f07d3a974134f7ffb9,0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC,0xc21223249ca28397b4b6541dffaecc539bff0c59,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,0xffd7510ca0a3279c7a5f50018a26c21d5bc1dbcf,0x000000000000000000000000000000000006f89a,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0x818ec0a7fe18ff94269904fced6ae3dae6d6dc0b,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0xcca4e6302510d555b654b3eab9c0fcb223bcfdf0,0x985458e523db3d53125813ed68c274899e9dfab4,0xc946daf81b08146b1c7a8da2a851ddf2b3eaaf85,0x00ef6658f79d8b560f77b7b20a5d7822f5bc22539c7b4056128258e5829da517,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,0x66a2a913e447d6b4bf33efbec43aaef87890fbbc,0xb12bfca5a55806aaf64e99521918a4bf0fc40802,0xea32a96608495e54156ae48931a7c20f0dcc1a21,0x620fd5fa44be6af63715ef4e65ddfa0387ad13f5,0x980a5afef3d17ad98635f6c5aebcbaeded3c3430,0xd86e243fc0007e6226b07c9a50c9d70d78299eb5,0x818ec0a7fe18ff94269904fced6ae3dae6d6dc0b,0x2bf9b864cdc97b08b6d79ad4663e71b8ab65c45c,0xb44a9b6905af7c801311e8f4e76932ee959c663c,0x3ad9dfe640e1a9cc1d9b0948620820d975c3803a,0xa06be0f5950781ce28d965e5efc6996e88a8c141,0x51e44ffad5c2b122c8b635671fcc8139dc636e82,0xe2aa35c2039bd0ff196a6ef99523cc0d3972ae3e,0x6963efed0ab40f6c3d7bda44a05dcf1437c44372,0x6a2d262d56735dba19dd70682b39f6be9a931d98,0xcf2df9377a4e3c10e9ea29fdb8879d74c27fcde7,0x750ba8b76187092b0d1e87e28daaf484d1b5273b,0x80b5a32e4f032b2a058b4f29ec95eefeeb87adcd,0x765277eebeca2e31912c9946eae1021199b39c61,0x80a16016cc4a2e6a2caca8a4a498b1699ff0f844,0x6270b58be569a7c0b8f47594f191631ae5b2c86c,0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x514910771af9ca656af840dff83e8264ecf986ca,0xb3654dc3d10ea7645f8319668e8f54d2574fbdc8,,,0x5947bb275c521040051d82396192181b413227a3,,,,,,0xe2e73a1c69ecf83f464efce6a5be353a37ca09b2,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,,,,,,0x68ca48ca2626c415a89756471d4ade2cc9034008,,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,,0x218532a12a389a4a92fc0c5fb22901d1c19198aa,,0x008484148dcf23d1b48908393e7a00d5fdc3bf81029a73eeca62a15ebfb1205a,,,,,,,,,,0xf390830df829cf22c53c8840554b98eafc5dcbc2,,,,,,,,,,,,,,0x9e004545c59d359f6b7bfb06a26390b087717b42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,,,,,,,,,,,,,,,,,0x98997e1651919faeacee7b96afbb3dfd96cb6036,,,,0x0000000000000000000000000000000000001010,0x3405a1bd46b85c5c029483fbecf2f3e611026e45,0xcc42724c6683b7e57334c4e856f4c9965ed682bd,,0x301259f392b551ca8c592c9f676fcd2f9a0a84c5,,0x009134d5c7b7fda8863985531f456f89bef5fbd76684a8acdb737b3e451d0877,,,,,,,,,,,,,,,,,,,,,,,,,0x682f81e57eaa716504090c3ecba8595fb54561d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x582d872a1b094fc48f5de31d3b73f2d9be47def1,,,,,,,,,,,,,,,,,,,,,,,0x76a797a59ba2c17726896976b7b3747bfd1d220f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x321162cd933e2be498cd2267a90534a804051b11,0xea034fb02eb1808c2cc3adbc15f447b93cbe08e1,0x818ec0a7fe18ff94269904fced6ae3dae6d6dc0b,0x50b7545627a5162f82a992c33b87adc75187b218,,,,,0x18fb0a62f207a2a082ca60aa78f47a1af4985190,0x8e5bbbb09ed1ebde8674cda39a0c169401db4252,0x68f180fcce6836688e9084f035309e29bf0a2095,,,,0x062e66477faf219f25d27dced647bf57c3107d52,0xbbeb516fb02a01611cbbe0453fe3c580d7281011,0x29a791703e5a5a8d1578f8611b4d3691377cebc0,,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0x922d641a426dcffaef11680e5358f34d97d112e1,,0x503b2ddc059b81788fd1239561596614b27faade,0x3095c7557bcb296ccc6e363de01b760ba031f2d9,,0x002c48630dcb8c75cc36162cbdbc8ff27b843973b951ba9b6e260f869d45bcdc,,0xdc0486f8bf31df57a952bcd3c1d3e166e3d9ec8b,0xf4eb217ba2454613b15dbdea6e5f22276410e89e,0xa5b55ab1daf0f8e1efc0eb1931a957fd89b918f4,0x33284f95ccb7b948d9d352e1439561cf83d8d00d,,0xc1f6c86abee8e2e0b6fd5bd80f0b51fef783635c,0xf390830df829cf22c53c8840554b98eafc5dcbc2,0xc9baa8cfdde8e328787e29b4b078abf2dadc2055,0x6ab6d61428fde76768d7b45d8bfeec19c6ef91a8,,,,,0x1f545487c62e5acfea45dcadd9c627361d1616d8,0xad543f18cff85c77e140e3e5e3c3392f6ba9d5ca,,,,,0x639a647fbe20b6c8ac19e48e2de44ea792c62c5c,0xdcbacf3f7a069922e677912998c8d57423c37dfa,0xb44a9b6905af7c801311e8f4e76932ee959c663c,,0x6ab6d61428fde76768d7b45d8bfeec19c6ef91a8,0xd629eb00deced2a080b7ec630ef6ac117e614f1b,0x040ea5c10e6ba4badb6c433a365ccc4968697230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6b175474e89094c44da98b954eedeac495271d0f,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,0xc5015b9d9161dca7e18e32f6f25c4ad850731fd4,0x765277eebeca2e31912c9946eae1021199b39c61,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,,,,,,0x44fa8e6f47987339850636f88629646662444217,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,,,,0xf2001b145b43032aaf5ee2884e456ccd805f677d,0x4b9eb6c0b6ea15176bbf62841c6b2a8a398cb656,0x0ee5893f434017d8881750101ea2f7c49c0eb503,,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x765277eebeca2e31912c9946eae1021199b39c61,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,,0xef977d2f931c1978db5f6747666fa1eacb0d0339,,0x0200060000000000000000000000000000000000000000000000000000000000,,,0xe3520349f477a5f6eb06107066048508498a291b,0x4651b38e7ec14bb3db731369bfe5b08f2466bd0a,,,,,0xefaeee334f0fd1712f9a8cc375f427d9cdd40d73,0x639a647fbe20b6c8ac19e48e2de44ea792c62c5c,,,,,,0x6de33698e9e9b787e09d3bd7771ef63557e148bb,,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,,,0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d,0x078db7827a5531359f6cb63f62cfa20183c4f10c,,,0x80a16016cc4a2e6a2caca8a4a498b1699ff0f844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
