Fold,Window Size,LSTM Units,Batch Size,Learning Rate,MSE,MAE,Best Val Loss,Best Epoch
1,25,32,32,0.001,0.046363926752073126,0.17126217324683016,0.046363990753889084,9
1,25,32,32,0.001,0.0462583887421262,0.17014263307714525,0.046258363872766495,8
2,25,32,32,0.001,0.045986485170612316,0.16696274070505726,0.045986466109752655,1
3,25,32,32,0.001,0.03780367546643051,0.14621959035552354,0.037803664803504944,1
1,25,32,32,0.0005,0.04640924901939634,0.16787263968591531,0.046409253031015396,11
2,25,32,32,0.0005,0.04632632695943237,0.16868638848530393,0.046326346695423126,3
3,25,32,32,0.0005,0.039233807728952276,0.15431724178623302,0.03923377767205238,1
1,25,32,32,0.0001,0.046340858263529607,0.17027580414429067,0.046340882778167725,8
2,25,32,32,0.0001,0.04614446525035332,0.16994202457044819,0.04614447057247162,4
3,25,32,32,0.0001,0.037644009556942234,0.14486884086805746,0.03764401003718376,2
1,25,32,64,0.001,0.04656341132601074,0.17456466201712192,0.04656342789530754,10
2,25,32,64,0.001,0.04643380524220586,0.16974925456865012,0.04643383249640465,2
3,25,32,64,0.001,0.038576541477945855,0.15083868856568583,0.03857654705643654,1
1,25,32,64,0.0005,0.04636776604567556,0.17350545669310552,0.04636777192354202,14
2,25,32,64,0.0005,0.04617678641503878,0.16735371954353803,0.04617675766348839,1
3,25,32,64,0.0005,0.037846434372312616,0.13975120048073514,0.03784642741084099,1
1,25,32,64,0.0001,0.04618199336269844,0.17289104841075337,0.04618198052048683,13
2,25,32,64,0.0001,0.04616256012037661,0.16865488738798154,0.04616257920861244,1
3,25,32,64,0.0001,0.03781207515728684,0.1407469500598899,0.037812087684869766,1
1,25,64,32,0.001,0.04611466666100403,0.17060915783762773,0.04611462354660034,19
2,25,64,32,0.001,0.04572402529754642,0.1665626298020899,0.04572403058409691,1
3,25,64,32,0.001,0.0373507513955652,0.14016265857591576,0.037350695580244064,1
1,25,64,32,0.0005,0.046265064457863894,0.16962463637844363,0.04626509174704552,10
2,25,64,32,0.0005,0.046028078934465776,0.16868737055327204,0.046028055250644684,6
3,25,64,32,0.0005,0.037447838663110224,0.14027578074501368,0.037447765469551086,2
1,25,64,32,0.0001,0.046160543799122204,0.1706837786095306,0.046160534024238586,8
2,25,64,32,0.0001,0.04591916468460069,0.16712704095947548,0.04591913893818855,12
3,25,64,32,0.0001,0.03721767518709935,0.14018317311495454,0.037217721343040466,1
1,25,64,64,0.001,0.04623645596586693,0.17051819624359504,0.046236418187618256,8
2,25,64,64,0.001,0.046055950501769735,0.1666581940432259,0.046055957674980164,5
3,25,64,64,0.001,0.03773899050511277,0.1420060726462985,0.03773899003863335,1
1,25,64,64,0.0005,0.04668291679908444,0.1721111839657301,0.04668295383453369,6
2,25,64,64,0.0005,0.046494591789478526,0.1726418949148349,0.04649460315704346,3
3,25,64,64,0.0005,0.03873575340706308,0.1549846986744085,0.03873581066727638,1
1,25,64,64,0.0001,0.04629239630087289,0.17204896390434826,0.04629240930080414,16
2,25,64,64,0.0001,0.04598050988029922,0.16699036717625154,0.045980483293533325,2
