Fold,Window Size,LSTM Units,Batch Size,Learning Rate,MSE,MAE,Best Val Loss,Best Epoch
Average,25,32,32,0.001,0.04334951645972301,0.16110832137924203,0.043349498262008034,16
Average,25,32,32,0.0005,0.043989794569260325,0.16362542331915075,0.043989792466163635,21
Average,25,32,32,0.0001,0.04337644435694171,0.16169555652759876,0.043376454462607704,20
Average,25,32,64,0.001,0.04385791934872082,0.1650508683838193,0.043857935816049576,19
Average,25,32,64,0.0005,0.043463662277675646,0.16020345890579288,0.0434636523326238,22
Average,25,32,64,0.0001,0.04338554288012062,0.16076429528620828,0.04338554913798968,21
Average,25,64,32,0.001,0.043063147784705214,0.1591114820718778,0.043063116570313774,27
Average,25,64,32,0.0005,0.04324699401847996,0.15952926255890978,0.043246970822413765,24
Average,25,64,32,0.0001,0.043099127890274085,0.15933133089465354,0.04309913143515587,27
Average,25,64,64,0.001,0.043343798990916484,0.15972748764437314,0.04334378863374392,20
Average,25,64,64,0.0005,0.04397108733187535,0.16657925918499117,0.04397112255295118,16
Average,25,64,64,0.0001,0.043280683109178174,0.15989020166041845,0.04328067973256111,25
Average,25,128,32,0.001,0.043627374479151576,0.1608076971018049,0.04362736021478971,25
Average,25,128,32,0.0005,0.04298496237856045,0.15875878971010546,0.04298497115572294,28
Average,25,128,32,0.0001,0.04314673097404468,0.15937202089927047,0.043146733194589615,28
Average,25,128,64,0.001,0.04310575955246474,0.15987042683799765,0.043105773627758026,27
Average,25,128,64,0.0005,0.04317484887713141,0.15872796454830784,0.04317491501569748,25
Average,25,128,64,0.0001,0.04322888129941885,0.15952031143018475,0.04322890440622965,29
Average,50,32,32,0.001,0.04318113079472897,0.15917715579719485,0.04318114494283994,25
Average,50,32,32,0.0005,0.04327280235525466,0.16065386529141748,0.043272806952397026,26
Average,50,32,32,0.0001,0.04396399039040369,0.16412490279034478,0.04396398365497589,18
Average,50,32,64,0.001,0.043419863127305135,0.1612213609613141,0.04341984291871389,28
Average,50,32,64,0.0005,0.04339955620614557,0.16054812169904506,0.04339955374598503,29
Average,50,32,64,0.0001,0.043172633213847796,0.1563697478955338,0.04317262147863706,25
Average,50,64,32,0.001,0.04308008431297348,0.161289172199132,0.04308009892702103,14
Average,50,64,32,0.0005,0.04327588449471776,0.1594375978537733,0.04327588031689326,24
Average,50,64,32,0.0001,0.04328823456795402,0.1609688479490146,0.043288239588340126,19
Average,50,64,64,0.001,0.04313962970174689,0.15831660136866732,0.04313963527480761,27
Average,50,64,64,0.0005,0.043664956682304946,0.16171079564224913,0.043664947152137756,27
Average,50,64,64,0.0001,0.043255542281686155,0.16016058982089817,0.04325552408893903,27
Average,50,128,32,0.001,0.042995110664235024,0.15858860762676544,0.04299514244000117,27
Average,50,128,32,0.0005,0.04310052745383041,0.16095303678875406,0.04310053586959839,23
Average,50,128,32,0.0001,0.04318200066073687,0.15690428867472297,0.043181974440813065,27
Average,50,128,64,0.001,0.043270260477470894,0.16206016288710412,0.04327041034897169,18
Average,50,128,64,0.0005,0.04309751576355403,0.15866876670611132,0.04309756060441335,21
Average,50,128,64,0.0001,0.04297912797371323,0.15932828735481644,0.04297912741700808,25
